intervenant,parti,intervention,text_cleaned,emotions
Paul Christophe,HOR,"
Je souscris pleinement aux propos de notre collègue Arthur Delaporte, qui nous appelle au respect. Mais il y a tout de même un peu d'indécence, chers collègues de La France insoumise, à nous exhorter au respect des travailleurs du nucléaire et de leur régime spécial, quand vous-mêmes prônez la sortie du nucléaire, donc la suppression de leurs métiers ! C'en est presque hallucinant ! ",je souscris pleinement aux propos de notre collègue arthur delaporte qui nous appelle au respect. mais il y a tout de même un peu d'indécence chers collègues de la france insoumise à nous exhorter au respect des travailleurs du nucléaire et de leur régime spécial quand vousmêmes prônez la sortie du nucléaire donc la suppression de leurs métiers  c'en est presque hallucinant ,"[{'label': 'anger', 'score': 0.43719547986984253}]"
Sabrina Sebaihi,ECO,"
Pathétique ! ",pathétique ,"[{'label': 'fear', 'score': 0.5104876160621643}]"
Paul Christophe,HOR,"
Vous nous rappelez à l'ordre sur un projet de loi qui ne serait que financier, oubliant qu'un tiers des articles comportent des mesures sociales et de justice. Tendre vers un régime universel qui permette à tout un chacun de bénéficier d'une retraite, c'est ce que propose ce texte. Ces mesures nouvelles – le répéterons-nous jamais assez ? – visent à répondre à des injustices réelles, héritage du passé. On en a cité quelques-unes, nous y reviendrons ; je me languis de pouvoir continuer de débattre avec vous, au-delà de l'article 7. ",vous nous rappelez à l'ordre sur un projet de loi qui ne serait que financier oubliant qu'un tiers des articles comportent des mesures sociales et de justice. tendre vers un régime universel qui permette à tout un chacun de bénéficier d'une retraite c'est ce que propose ce texte. ces mesures nouvelles – le répéteronsnous jamais assez  – visent à répondre à des injustices réelles héritage du passé. on en a cité quelquesunes nous y reviendrons ; je me languis de pouvoir continuer de débattre avec vous audelà de l'article ,"[{'label': 'joy', 'score': 0.5357481837272644}]"
Yaël Braun-Pivet,REN,"
La parole est à M. Frédéric Petit. ",la parole est à m. frédéric petit.,"[{'label': 'joy', 'score': 0.7299375534057617}]"
Frédéric Petit,MODEM,"
Nous avons tous beaucoup de respect pour les travailleurs, en particulier ceux de l'énergie. Ce texte n'enlève rien à personne ! ",nous avons tous beaucoup de respect pour les travailleurs en particulier ceux de l'énergie. ce texte n'enlève rien à personne ,"[{'label': 'anger', 'score': 0.5540663003921509}]"
Sabrina Sebaihi,ECO,"
Deux ans, minimum ! ",deux ans minimum ,"[{'label': 'anger', 'score': 0.7055233120918274}]"
Fabien Roussel,GDR,"
Il rallonge le temps de travail de tous. ",il rallonge le temps de travail de tous.,"[{'label': 'joy', 'score': 0.5297666788101196}]"
Frédéric Petit,MODEM,"
Il n'enlève rien, pas même « la clause du grand-père ». Mais permettez-moi de vous faire part d'une crainte qui me taraude depuis une semaine : comprenez-vous seulement ce que signifie le régime par répartition ? On a entendu, il y a une quinzaine de jours, que les cotisations retraites étaient du salaire différé. C'est faux car, dans ce cas, nous ne serions pas dans un régime par répartition mais par capitalisation. Ce genre d'argument m'inquiète !Dans un régime par répartition, toutes les caisses sont vides à la fin de l'année car les recettes sont dépensées la même année ; si une caisse est en équilibre, ce n'est pas dû à sa bonne gestion, mais à la démographie. La Mutualité sociale agricole (MSA) n'a pas été mauvaise gestionnaire, c'est simplement qu'il y a moins de paysans aujourd'hui pour cotiser.Ce que nous préparons, ce n'est pas l'équilibre des caisses aujourd'hui, ce sont les équilibres de demain. Et vous êtes irresponsables de ne pas le comprendre ! Dans un régime par répartition, on ne cotise pas pour soi plus tard, on cotise pour les anciens d'aujourd'hui, en comptant sur les jeunes pour l'avenir. ",il n'enlève rien pas même « la clause du grandpère ». mais permettezmoi de vous faire part d'une crainte qui me taraude depuis une semaine  comprenezvous seulement ce que signifie le régime par répartition  on a entendu il y a une quinzaine de jours que les cotisations retraites étaient du salaire différé. c'est faux car dans ce cas nous ne serions pas dans un régime par répartition mais par capitalisation. ce genre d'argument m'inquiète dans un régime par répartition toutes les caisses sont vides à la fin de l'année car les recettes sont dépensées la même année ; si une caisse est en équilibre ce n'est pas dû à sa bonne gestion mais à la démographie. la mutualité sociale agricole msa n'a pas été mauvaise gestionnaire c'est simplement qu'il y a moins de paysans aujourd'hui pour cotiser.ce que nous préparons ce n'est pas l'équilibre des caisses aujourd'hui ce sont les équilibres de demain. et vous êtes irresponsables de ne pas le comprendre  dans un régime par répartition on ne cotise pas pour soi plus tard on cotise pour les anciens d'aujourd'hui en comptant sur les jeunes pour l'avenir.,"[{'label': 'anger', 'score': 0.4984414577484131}, {'label': 'joy', 'score': 0.4522881805896759}]"
Yaël Braun-Pivet,REN,"
La parole est à Mme la rapporteure générale, pour soutenir l'amendement n° 20071 , qui fait l'objet de plusieurs sous-amendements. ",la parole est à mme la rapporteure générale pour soutenir l'amendement n°   qui fait l'objet de plusieurs sousamendements.,"[{'label': 'anger', 'score': 0.48568254709243774}]"
Stéphanie Rist,REN,"
Comme pour les clercs de notaires, il s'agit de garantir la bonne affiliation des personnes recrutées avant le 1er septembre 2023 au régime spécial de vieillesse des IEG en cas de changement d'employeur, à la condition qu'il s'agisse d'une entreprise du secteur. ",comme pour les clercs de notaires il s'agit de garantir la bonne affiliation des personnes recrutées avant le  septembre  au régime spécial de vieillesse des ieg en cas de changement d'employeur à la condition qu'il s'agisse d'une entreprise du secteur.,"[{'label': 'joy', 'score': 0.5319762229919434}]"
Yaël Braun-Pivet,REN,"
La parole est à M. Pierre Dharréville, pour soutenir le sous-amendement n° 20602 . ",la parole est à m. pierre dharréville pour soutenir le sousamendement n°  .,"[{'label': 'joy', 'score': 0.4825288653373718}]"
Pierre Dharréville,GDR,"
Je crains que l'adoption de cet amendement ne fasse tomber les suivants. Je saisis donc cette occasion pour vous faire part rapidement de quelques constats. Notre désaccord est manifeste sur la façon dont nous envisageons l'avenir du droit à la retraite. C'est ici le cas, avec la destruction des régimes spéciaux. J'ai le sentiment que vous vous comportez comme des « arracheurs de droits » – ceux visés par ces alinéas, et tous les autres.Vous nous avez promis que vous prendriez en compte la pénibilité, mais nous savons bien qu'il n'en est rien. Il faut reconnaître la pénibilité, la prévenir, mais aussi la compenser. C'est un fait.Avec ce sous-amendement de re-repli, nous avons tenté de limiter au maximum la casse. Nous proposons que soient concernés par ce dispositif les salariés recrutés avant, non pas le 1er septembre 2023, mais une date déterminée par décret pris en Conseil d'État après accord des organisations syndicales et patronales. Vous qui avez vanté à moult reprises le dialogue social devriez, s'agissant d'une réforme aussi importante, souscrire à cette proposition. ",je crains que l'adoption de cet amendement ne fasse tomber les suivants. je saisis donc cette occasion pour vous faire part rapidement de quelques constats. notre désaccord est manifeste sur la façon dont nous envisageons l'avenir du droit à la retraite. c'est ici le cas avec la destruction des régimes spéciaux. j'ai le sentiment que vous vous comportez comme des « arracheurs de droits » – ceux visés par ces alinéas et tous les autres.vous nous avez promis que vous prendriez en compte la pénibilité mais nous savons bien qu'il n'en est rien. il faut reconnaître la pénibilité la prévenir mais aussi la compenser. c'est un fait.avec ce sousamendement de rerepli nous avons tenté de limiter au maximum la casse. nous proposons que soient concernés par ce dispositif les salariés recrutés avant non pas le  septembre  mais une date déterminée par décret pris en conseil d'état après accord des organisations syndicales et patronales. vous qui avez vanté à moult reprises le dialogue social devriez s'agissant d'une réforme aussi importante souscrire à cette proposition.,"[{'label': 'joy', 'score': 0.5224444270133972}, {'label': 'joy', 'score': 0.5787085294723511}]"
Yaël Braun-Pivet,REN,"
Je suis saisie de deux sous-amendements identiques, n° 20601  et 20604 .Le sous-amendement n° 20601  de M. Sébastien Jumel est défendu.La parole est à M. Delaporte, pour soutenir l'amendement identique n° 20604 .Peut-être pourriez-vous, monsieur Delaporte, soutenir en même temps les sous-amendements n° 20603  et 20605  ? ",je suis saisie de deux sousamendements identiques n°  et  .le sousamendement n°  de m. sébastien jumel est défendu.la parole est à m. delaporte pour soutenir l'amendement identique n°  .peutêtre pourriezvous monsieur delaporte soutenir en même temps les sousamendements n°  et  ,"[{'label': 'anger', 'score': 0.45418208837509155}]"
Arthur Delaporte,SOC,"
Oui, madame la présidente. L'adoption de l'amendement de Mme la rapporteure générale aurait pour conséquence de faire tomber une série d'amendements que nous avons déposés – et que nous avions envisagé de défendre en bloc – dans le but de laisser toute latitude à notre assemblée de décider de la date d'entrée en vigueur de la suppression du régime spécial de retraite des IEG. Contraints par les délais que nous impose son dépôt tardif, nous avons décidé de défendre des sous-amendements de repli.Le sous-amendement n° 20604  propose a minima de conditionner la suppression de ce régime spécial à une concertation avec les organisations syndicales et patronales car celle-ci n'a pas eu lieu. Comme nous, nos collègues du groupe Les Républicains attachent de l'importance au dialogue social, et je pense que cette proposition pourrait faire consensus.Le sous-amendement n° 20603  vise à repousser la fermeture de ce régime du 1er septembre 2023 au 1er septembre 2024, ce qui permettrait qu'elle se passe dans de meilleures conditions.Quant au sous-amendement n° 20605 , il tend à supprimer la condition de continuité de la carrière que vous avez posée dans votre amendement, madame la rapporteur générale, pour l'affiliation au régime d'assurance vieillesse des IEG. Nous voulons ainsi mieux protéger les salariés qui ont connu des interruptions et que vous entendez faire travailler plus longtemps.Précisons pour finir que nous nous opposons à cet amendement n° 20071 . ",oui madame la présidente. l'adoption de l'amendement de mme la rapporteure générale aurait pour conséquence de faire tomber une série d'amendements que nous avons déposés – et que nous avions envisagé de défendre en bloc – dans le but de laisser toute latitude à notre assemblée de décider de la date d'entrée en vigueur de la suppression du régime spécial de retraite des ieg. contraints par les délais que nous impose son dépôt tardif nous avons décidé de défendre des sousamendements de repli.le sousamendement n°  propose a minima de conditionner la suppression de ce régime spécial à une concertation avec les organisations syndicales et patronales car celleci n'a pas eu lieu. comme nous nos collègues du groupe les républicains attachent de l'importance au dialogue social et je pense que cette proposition pourrait faire consensus.le sousamendement n°  vise à repousser la fermeture de ce régime du  septembre  au  septembre  ce qui permettrait qu'elle se passe dans de meilleures conditions.quant au sousamendement n°   il tend à supprimer la condition de continuité de la carrière que vous avez posée dans votre amendement madame la rapporteur générale pour l'affiliation au régime d'assurance vieillesse des ieg. nous voulons ainsi mieux protéger les salariés qui ont connu des interruptions et que vous entendez faire travailler plus longtemps.précisons pour finir que nous nous opposons à cet amendement n°  .,"[{'label': 'anger', 'score': 0.5802872180938721}, {'label': 'anger', 'score': 0.5151998996734619}, {'label': 'joy', 'score': 0.6561945080757141}]"
